Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.912e-06,,,,,Horizontal Delay,2.912e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,250,25,20,20,,Vertical Scale,0.0005
Vertical Position,1.98,1,-2,-3.92,,Vertical Position,-2.01364
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-1.0056e-06,255,-9,0,0,,-1.0056e-06,3.45983e-06
-1.0048e-06,255,-9,0.8,0,,-1.0048e-06,3.61608e-06
-1.0040e-06,235,-9,0,0,,-1.0040e-06,3.61608e-06
-1.0032e-06,255,-9,0,0,,-1.0032e-06,3.61608e-06
-1.0024e-06,255,-10,-0.8,-0.8,,-1.0024e-06,3.45983e-06
-1.0016e-06,255,-9,0,0,,-1.0016e-06,3.45983e-06
-1.0008e-06,255,-9,0,0,,-1.0008e-06,3.45983e-06
-1.0000e-06,265,-9,0,0,,-1.0000e-06,3.45983e-06
-9.9920e-07,245,-9,0.8,0,,-9.9920e-07,3.61608e-06
-9.9840e-07,245,-9,0,0.8,,-9.9840e-07,3.61608e-06
-9.9760e-07,245,-10,0,0,,-9.9760e-07,3.61608e-06
-9.9680e-07,255,-10,0,0,,-9.9680e-07,3.61608e-06
-9.9600e-07,255,-8,0,0,,-9.9600e-07,3.61608e-06
-9.9520e-07,245,-10,0.8,0,,-9.9520e-07,3.77233e-06
-9.9440e-07,255,-9,0,0,,-9.9440e-07,3.77233e-06
-9.9360e-07,255,-9,0,0,,-9.9360e-07,3.77233e-06
-9.9280e-07,245,-9,0.8,0,,-9.9280e-07,3.92858e-06
-9.9200e-07,255,-9,0,0,,-9.9200e-07,3.92858e-06
-9.9120e-07,255,-10,0,0,,-9.9120e-07,3.92858e-06
-9.9040e-07,255,-9,0,0,,-9.9040e-07,3.92858e-06
-9.8960e-07,255,-8,0,0,,-9.8960e-07,3.92858e-06
-9.8880e-07,255,-9,0.8,0,,-9.8880e-07,4.16295e-06
-9.8800e-07,255,-9,0,0,,-9.8800e-07,4.16295e-06
-9.8720e-07,255,-8,0.8,0,,-9.8720e-07,4.3192e-06
-9.8640e-07,265,-9,-0.8,0,,-9.8640e-07,4.08483e-06
-9.8560e-07,255,-10,0,-0.8,,-9.8560e-07,4.08483e-06
-9.8480e-07,255,-9,0,0,,-9.8480e-07,4.08483e-06
-9.8400e-07,255,-10,0.8,0,,-9.8400e-07,4.3192e-06
-9.8320e-07,255,-8,0,-0.8,,-9.8320e-07,4.3192e-06
-9.8240e-07,255,-9,0,0,,-9.8240e-07,4.3192e-06
-9.8160e-07,255,-9,0,0,,-9.8160e-07,4.3192e-06
-9.8080e-07,275,-9,0.8,0,,-9.8080e-07,4.47545e-06
-9.8000e-07,255,-9,0,0,,-9.8000e-07,4.47545e-06
-9.7920e-07,255,-9,0,0.8,,-9.7920e-07,4.47545e-06
-9.7840e-07,255,-10,-0.8,0.8,,-9.7840e-07,4.3192e-06
-9.7760e-07,255,-9,0,0.8,,-9.7760e-07,4.3192e-06
-9.7680e-07,255,-9,0.8,0,,-9.7680e-07,4.47545e-06
-9.7600e-07,255,-8,0,0,,-9.7600e-07,4.47545e-06
-9.7520e-07,245,-9,-0.8,0,,-9.7520e-07,4.3192e-06
-9.7440e-07,255,-8,0,-0.8,,-9.7440e-07,4.3192e-06
-9.7360e-07,245,-9,0.8,-0.8,,-9.7360e-07,4.47545e-06
-9.7280e-07,265,-9,-0.8,0,,-9.7280e-07,4.3192e-06
-9.7200e-07,255,-9,0,0,,-9.7200e-07,4.3192e-06
-9.7120e-07,265,-9,0,0,,-9.7120e-07,4.3192e-06
-9.7040e-07,255,-9,0,-0.8,,-9.7040e-07,4.3192e-06
-9.6960e-07,255,-9,0,0,,-9.6960e-07,4.3192e-06
-9.6880e-07,255,-10,0,0,,-9.6880e-07,4.3192e-06
-9.6800e-07,255,-9,0.8,-0.8,,-9.6800e-07,4.47545e-06
-9.6720e-07,255,-9,0,0,,-9.6720e-07,4.47545e-06
-9.6640e-07,265,-8,0,0,,-9.6640e-07,4.47545e-06
-9.6560e-07,265,-9,0.8,-1.6,,-9.6560e-07,4.6317e-06
