Model,MDO3054
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,ANALOG
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,8e-07,,,,,Horizontal Scale,8e-07
Horizontal Delay,2.964e-06,,,,,Horizontal Delay,2.964e-06
Sample Interval,8e-10,,,,,Sample Interval,8e-10
Record Length,10000,,,,,Record Length,10000
Gating,0.0% to 100.0%,,,,,Gating,0.0% to 100.0%
Probe Attenuation,500,50,10,100,,Probe Attenuation,1
Vertical Units,V,V,A,A,,Vertical Units,Ws
Vertical Offset,0,0,0,0,,Vertical Offset,0
Vertical Scale,500,25,20,20,,Vertical Scale,0.001
Vertical Position,1.98,0.4,-2,-3.92,,Vertical Position,-1.78835
,,,,,,,
,,,,,,,
,,,,,,,
Label,Vds,Vge,Isw,Il,,Label,Esw
TIME,CH1,CH2,CH3,CH4,,TIME,"MATH<INTG(CH1*CH3)>"
-8.5280e-07,390,-9,0,0,,-8.5280e-07,2.0227e-05
-8.5200e-07,370,-9,0,0,,-8.5200e-07,2.0227e-05
-8.5120e-07,410,-9,0.8,0,,-8.5120e-07,2.05395e-05
-8.5040e-07,430,-9,0,0.8,,-8.5040e-07,2.05395e-05
-8.4960e-07,410,-9,0,-0.8,,-8.4960e-07,2.05395e-05
-8.4880e-07,390,-9,0.8,0,,-8.4880e-07,2.06957e-05
-8.4800e-07,370,-10,0,0,,-8.4800e-07,2.06957e-05
-8.4720e-07,390,-8,0,0.8,,-8.4720e-07,2.06957e-05
-8.4640e-07,410,-9,0,0,,-8.4640e-07,2.06957e-05
-8.4560e-07,390,-8,0,0,,-8.4560e-07,2.06957e-05
-8.4480e-07,390,-10,0,-0.8,,-8.4480e-07,2.06957e-05
-8.4400e-07,410,-9,0.8,0.8,,-8.4400e-07,2.10082e-05
-8.4320e-07,390,-9,0.8,0,,-8.4320e-07,2.13207e-05
-8.4240e-07,390,-9,-0.8,0,,-8.4240e-07,2.10082e-05
-8.4160e-07,390,-9,0.8,0,,-8.4160e-07,2.13207e-05
-8.4080e-07,390,-9,0.8,0,,-8.4080e-07,2.1477e-05
-8.4000e-07,410,-8,-0.8,-0.8,,-8.4000e-07,2.11645e-05
-8.3920e-07,390,-9,0.8,0.8,,-8.3920e-07,2.1477e-05
-8.3840e-07,370,-9,0,0,,-8.3840e-07,2.1477e-05
-8.3760e-07,390,-10,0,0,,-8.3760e-07,2.1477e-05
-8.3680e-07,370,-9,0,0,,-8.3680e-07,2.1477e-05
-8.3600e-07,390,-8,0.8,0,,-8.3600e-07,2.17895e-05
-8.3520e-07,410,-8,0.8,0,,-8.3520e-07,2.19457e-05
-8.3440e-07,390,-9,0.8,0.8,,-8.3440e-07,2.22582e-05
-8.3360e-07,370,-10,0,0,,-8.3360e-07,2.22582e-05
-8.3280e-07,370,-9,0.8,-1.6,,-8.3280e-07,2.24145e-05
-8.3200e-07,390,-9,0.8,0.8,,-8.3200e-07,2.2727e-05
-8.3120e-07,390,-9,0,0,,-8.3120e-07,2.2727e-05
-8.3040e-07,390,-9,0,0,,-8.3040e-07,2.2727e-05
-8.2960e-07,390,-9,0,0,,-8.2960e-07,2.2727e-05
-8.2880e-07,390,-9,-0.8,0,,-8.2880e-07,2.24145e-05
-8.2800e-07,390,-9,0.8,0,,-8.2800e-07,2.2727e-05
-8.2720e-07,390,-9,0.8,0,,-8.2720e-07,2.30395e-05
-8.2640e-07,390,-9,0,0,,-8.2640e-07,2.30395e-05
-8.2560e-07,410,-9,0,-0.8,,-8.2560e-07,2.30395e-05
-8.2480e-07,390,-9,0,0,,-8.2480e-07,2.30395e-05
-8.2400e-07,370,-9,0,-0.8,,-8.2400e-07,2.30395e-05
-8.2320e-07,390,-9,0,0,,-8.2320e-07,2.30395e-05
-8.2240e-07,390,-10,0,0,,-8.2240e-07,2.30395e-05
-8.2160e-07,410,-10,0.8,-0.8,,-8.2160e-07,2.31957e-05
-8.2080e-07,390,-10,-0.8,0,,-8.2080e-07,2.30395e-05
-8.2000e-07,410,-10,0.8,0,,-8.2000e-07,2.31957e-05
-8.1920e-07,410,-8,0,0,,-8.1920e-07,2.31957e-05
-8.1840e-07,410,-9,0,0,,-8.1840e-07,2.31957e-05
-8.1760e-07,390,-10,0,0,,-8.1760e-07,2.31957e-05
-8.1680e-07,390,-10,0.8,0,,-8.1680e-07,2.35082e-05
-8.1600e-07,390,-9,0,-0.8,,-8.1600e-07,2.35082e-05
-8.1520e-07,390,-9,0,0,,-8.1520e-07,2.35082e-05
-8.1440e-07,410,-9,0.8,0,,-8.1440e-07,2.38207e-05
-8.1360e-07,390,-10,0,0,,-8.1360e-07,2.38207e-05
-8.1280e-07,390,-9,0,0,,-8.1280e-07,2.38207e-05
-8.1200e-07,390,-10,0.8,-0.8,,-8.1200e-07,2.3977e-05
-8.1120e-07,390,-9,0.8,0,,-8.1120e-07,2.42895e-05
-8.1040e-07,410,-8,0,0,,-8.1040e-07,2.42895e-05
-8.0960e-07,370,-9,-0.8,-0.8,,-8.0960e-07,2.3977e-05
-8.0880e-07,390,-9,0.8,0,,-8.0880e-07,2.42895e-05
-8.0800e-07,390,-9,0.8,0,,-8.0800e-07,2.4602e-05
-8.0720e-07,410,-8,0,0,,-8.0720e-07,2.4602e-05
-8.0640e-07,410,-9,0.8,0,,-8.0640e-07,2.47582e-05
-8.0560e-07,410,-9,0.8,0,,-8.0560e-07,2.50707e-05
-8.0480e-07,390,-9,0.8,0,,-8.0480e-07,2.53832e-05
-8.0400e-07,410,-9,0.8,-0.8,,-8.0400e-07,2.55395e-05
-8.0320e-07,410,-9,0,0,,-8.0320e-07,2.55395e-05
-8.0240e-07,390,-10,0,-0.8,,-8.0240e-07,2.55395e-05
-8.0160e-07,410,-10,0,0,,-8.0160e-07,2.55395e-05
-8.0080e-07,410,-8,0.8,0,,-8.0080e-07,2.5852e-05
-8.0000e-07,410,-10,-0.8,0.8,,-8.0000e-07,2.55395e-05
-7.9920e-07,410,-9,0.8,0.8,,-7.9920e-07,2.5852e-05
-7.9840e-07,410,-9,0,0.8,,-7.9840e-07,2.5852e-05
-7.9760e-07,390,-9,0,0,,-7.9760e-07,2.5852e-05
-7.9680e-07,390,-9,0,-0.8,,-7.9680e-07,2.5852e-05
-7.9600e-07,390,-10,-0.8,0.8,,-7.9600e-07,2.55395e-05
-7.9520e-07,390,-9,0.8,0,,-7.9520e-07,2.5852e-05
-7.9440e-07,390,-10,0.8,0,,-7.9440e-07,2.60082e-05
-7.9360e-07,390,-9,0,0,,-7.9360e-07,2.60082e-05
-7.9280e-07,390,-10,0,-0.8,,-7.9280e-07,2.60082e-05
-7.9200e-07,370,-9,0.8,0,,-7.9200e-07,2.63207e-05
-7.9120e-07,410,-9,0,0,,-7.9120e-07,2.63207e-05
-7.9040e-07,410,-9,0,-0.8,,-7.9040e-07,2.63207e-05
-7.8960e-07,390,-10,0.8,0,,-7.8960e-07,2.66332e-05
-7.8880e-07,370,-9,0,0,,-7.8880e-07,2.66332e-05
-7.8800e-07,390,-10,0,0,,-7.8800e-07,2.66332e-05
-7.8720e-07,350,-9,0,0,,-7.8720e-07,2.66332e-05
-7.8640e-07,370,-9,0,0,,-7.8640e-07,2.66332e-05
-7.8560e-07,410,-9,0.8,0,,-7.8560e-07,2.67895e-05
-7.8480e-07,390,-8,0,-0.8,,-7.8480e-07,2.67895e-05
-7.8400e-07,390,-10,0.8,0,,-7.8400e-07,2.7102e-05
-7.8320e-07,410,-9,0.8,0.8,,-7.8320e-07,2.74145e-05
-7.8240e-07,390,-8,0,0,,-7.8240e-07,2.74145e-05
